sku,sku_group,stores
CHK_WHL_SKIN_OFF_250,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_OFF,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_OFF_750,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_OFF_1_KG,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_ON_250,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_ON,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_ON_750,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_WHL_SKIN_ON_1_KG,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_250,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_750,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_1_KG,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_SKIN_ON_250,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_SKIN_ON,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_SKIN_ON_750,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
CHK_BIRI_CUT_SKIN_ON_1_KG,Anchor,"dr_proteins_maduravoyal, yadghar_mutton_and_chicken_stall_porur_00096, tharamani_b_proteins_tharamani, suguna_chicken_ch42_velachery_00021, krk_rahman_proteins_perumbakkam_00013, hi_proteins_anna_nagar_west_00078, hi_protiens_anna_nagar_00076"
